Radius	predicate	time	# Vertices
469	-0.0021322	1866	1076
470	-0.00212766	1615	1104
471	-0.00212314	1908	1072
472	-0.00211864	1742	1084
473	-0.00211416	1679	1104
474	-0.0021097	1774	1096
475	-0.00210526	1814	1092
476	-0.00210084	1946	1084
477	-0.00209644	1684	1096
478	-0.00209205	1656	1116
479	-0.00208768	1922	1100
480	-0.00208333	1668	1120
481	-0.002079	1853	1104
482	-0.00207469	1640	1116
483	-0.00207039	2107	1100
484	-0.00206612	1882	1112
485	-0.00206186	1557	1132
486	-0.00205761	1826	1124
487	-0.00205339	1727	1128
488	-0.00204918	2005	1104
489	-0.00204499	1930	1124
490	-0.00204082	1639	1144
491	-0.00203666	1800	1136
492	-0.00203252	1720	1132
493	-0.0020284	1680	1124
494	-0.00202429	1879	1144
495	-0.0020202	1852	1144
496	-0.00201613	2120	1140
497	-0.00201207	1863	1152
498	-0.00200803	1884	1144
499	-0.00200401	1824	1164
500	-0.002	2115	1140
501	-0.00199601	1893	1144
502	-0.00199203	1688	1164
503	-0.00198807	1750	1156
504	-0.00198413	1800	1176
505	-0.0019802	1881	1160
506	-0.00197628	1958	1156
507	-0.00197239	1928	1164
508	-0.0019685	1826	1176
509	-0.00196464	1957	1180
510	-0.00196078	1829	1180
511	-0.00195695	1721	1184
512	-0.00195312	2162	1176
513	-0.00194932	1961	1132
514	-0.00194553	1783	1152
515	-0.00194175	1735	1144
516	-0.00193798	1692	1156
517	-0.00193424	2103	1140
518	-0.0019305	1859	1144
519	-0.00192678	1731	1164
520	-0.00192308	1733	1156
521	-0.00191939	1715	1184
522	-0.00191571	1993	1160
523	-0.00191205	1799	1172
524	-0.0019084	2032	1156
525	-0.00190476	1709	1176
526	-0.00190114	1903	1180
527	-0.00189753	1935	1164
528	-0.00189394	1701	1184
529	-0.00189036	1909	1176
530	-0.00188679	1974	1172
531	-0.00188324	1891	1192
532	-0.0018797	1902	1176
533	-0.00187617	1636	1196
534	-0.00187266	1928	1172
535	-0.00186916	1755	1192
536	-0.00186567	2042	1192
537	-0.0018622	2021	1196
538	-0.00185874	2117	1200
539	-0.00185529	2067	1192
540	-0.00185185	1726	1204
541	-0.00184843	1945	1204
542	-0.00184502	1808	1216
543	-0.00184162	1902	1212
544	-0.00183824	1959	1204
545	-0.00183486	1799	1216
546	-0.0018315	2028	1216
547	-0.00182815	2074	1212
548	-0.00182482	1779	1232
549	-0.00182149	2043	1216
550	-0.00181818	1854	1236
551	-0.00181488	2023	1220
552	-0.00181159	1913	1232
553	-0.00180832	1871	1176
554	-0.00180505	1750	1204
555	-0.0018018	2030	1184
556	-0.00179856	2124	1184
557	-0.00179533	1883	1196
558	-0.00179211	1735	1188
559	-0.00178891	1804	1216
560	-0.00178571	1905	1204
561	-0.00178253	2080	1204
562	-0.00177936	1860	1208
563	-0.0017762	1691	1200
564	-0.00177305	1964	1212
565	-0.00176991	1789	1196
566	-0.00176678	1882	1224
567	-0.00176367	1884	1236
568	-0.00176056	1969	1196
569	-0.00175747	2061	1224
570	-0.00175439	2056	1208
571	-0.00175131	1818	1236
572	-0.00174825	1963	1232
573	-0.0017452	1861	1224
574	-0.00174216	1827	1236
575	-0.00173913	1947	1220
576	-0.00173611	1791	1248
577	-0.0017331	2302	1216
578	-0.0017301	2023	1236
579	-0.00172712	1855	1272
580	-0.00172414	1834	1240
581	-0.00172117	1952	1244
582	-0.00171821	2082	1236
583	-0.00171527	1936	1248
584	-0.00171233	1602	1276
585	-0.0017094	2102	1244
586	-0.00170648	2020	1256
587	-0.00170358	2155	1248
588	-0.00170068	2057	1260
589	-0.00169779	1952	1264
590	-0.00169492	2036	1256
591	-0.00169205	1872	1292
592	-0.00168919	2004	1268
593	-0.00168634	2036	1288
594	-0.0016835	2201	1256
595	-0.00168067	1936	1276
596	-0.00167785	1898	1304
597	-0.00167504	1980	1288
598	-0.00167224	2201	1276
599	-0.00166945	2142	1268
600	-0.00166667	1962	1288
601	-0.00166389	1818	1316
602	-0.00166113	2085	1276
603	-0.00165837	2120	1304
604	-0.00165563	2055	1280
605	-0.00165289	1937	1300
606	-0.00165017	2480	1284
607	-0.00164745	2113	1296
608	-0.00164474	2138	1324
609	-0.00164204	1843	1316
610	-0.00163934	1895	1296
611	-0.00163666	2166	1296
612	-0.00163399	1972	1308
613	-0.00163132	1982	1336
614	-0.00162866	1969	1328
615	-0.00162602	1865	1316
616	-0.00162338	2088	1308
617	-0.00162075	2033	1320
618	-0.00161812	2104	1348
619	-0.00161551	2232	1316
620	-0.0016129	2098	1336
621	-0.00161031	2307	1328
622	-0.00160772	1876	1348
623	-0.00160514	2357	1308
624	-0.00160256	2122	1336
625	-0.0016	1840	1348
626	-0.00159744	2273	1348
627	-0.0015949	2212	1344
628	-0.00159236	2162	1328
629	-0.00158983	2005	1348
630	-0.0015873	1922	1360
631	-0.00158479	2210	1360
632	-0.00158228	2107	1356
633	-0.00157978	2080	1340
634	-0.00157729	1972	1376
635	-0.0015748	2259	1352
636	-0.00157233	2320	1348
637	-0.00156986	2134	1376
638	-0.0015674	2163	1368
639	-0.00156495	1898	1388
640	-0.0015625	2212	1348
641	-0.00156006	2256	1360
642	-0.00155763	2222	1388
643	-0.00155521	2308	1380
644	-0.0015528	2305	1384
645	-0.00155039	2176	1360
646	-0.00154799	1954	1380
647	-0.0015456	1972	1408
648	-0.00154321	2227	1392
649	-0.00154083	2273	1388
650	-0.00153846	2352	1396
651	-0.0015361	2102	1400
652	-0.00153374	2159	1400
653	-0.00153139	2231	1396
654	-0.00152905	2323	1400
655	-0.00152672	2212	1408
656	-0.00152439	2113	1420
657	-0.00152207	2289	1388
658	-0.00151976	2306	1408
659	-0.00151745	2196	1420
660	-0.00151515	2348	1420
661	-0.00151286	2288	1408
662	-0.00151057	2231	1408
663	-0.0015083	2029	1428
664	-0.00150602	2251	1412
665	-0.00150376	2101	1448
666	-0.0015015	2305	1428
667	-0.00149925	2280	1420
668	-0.00149701	2302	1448
669	-0.00149477	2292	1424
670	-0.00149254	2341	1436
671	-0.00149031	2148	1448
672	-0.0014881	2248	1432
673	-0.00148588	2222	1460
674	-0.00148368	2544	1420
675	-0.00148148	2112	1440
676	-0.00147929	2146	1440
677	-0.0014771	2114	1460
678	-0.00147493	2593	1456
679	-0.00147275	2584	1440
680	-0.00147059	2093	1468
681	-0.00146843	2338	1452
682	-0.00146628	2055	1472
683	-0.00146413	2295	1476
684	-0.00146199	2376	1460
685	-0.00145985	2082	1480
686	-0.00145773	2388	1472
687	-0.0014556	2458	1452
